ID,牌名,稀有度,类型,目标,费用,描述,伤害值,格挡值,特殊值,费用+,强化版描述,伤害值+,格挡值+,特殊值+,命途,属性,象限
Trailblazer1,再见安打,BASIC,ATTACK,ENEMY,1,造成 !D! 点物理属性伤害（2）。,6,,,,,9,,,,物理,攻击
March7th0,极寒的弓矢,BASIC,ATTACK,ENEMY,1,造成 !D! 点冰属性伤害（2）。,6,,,,,9,,,,冰,攻击
Danheng0,云骑枪术·朔风,BASIC,ATTACK,ENEMY,1,造成 !D! 点风属性伤害（2）。,6,,,,,9,,,,风,攻击
Himeko0,武装调律,BASIC,ATTACK,ENEMY,1,造成 !D! 点火属性伤害（2）。,6,,,,,9,,,,火,攻击
Welt0,重力压制,BASIC,ATTACK,ENEMY,1,造成 !D! 点虚数属性伤害（2）。,6,,,,,9,,,,虚数,攻击
Trailblazer2,全胜·安息全垒打,BASIC,ATTACK,ALL_ENEMY,0,保留。消耗120 hsrmod:充能 ，对所有敌人造成 !D! 点物理属性伤害（2）。,4,,,,,6,,,,物理,攻击
Trailblazer3,炽燃不灭的琥珀,BASIC,SKILL,SELF,1,获得 !B! 点格挡。,,5,,,,,8,,,,防御
Sushang1,太虚形蕴 · 烛夜,COMMON,ATTACK,ENEMY,1,获得 !M! 层 hsrmod:击破特攻 ，造成 !D! 点物理属性伤害（3），若 hsrmod:击破 ，则摸 !M! 张牌。,4,,2,,获得 !M! 层 hsrmod:击破特攻 ，造成 !D! 点物理属性伤害（3），然后若其有 hsrmod:击破状态 ，则摸 !M! 张牌。,,,3,毁灭,物理,运转
Sushang2,游刃有余,COMMON,SKILL,SELF,1,获得 !M! 层 hsrmod:击破特攻 ，每有一名敌人有 hsrmod:击破状态 ，你便回复1点 [E] 。,,,2,0,,,,3,毁灭,,运转
Tingyun1,庆云光覆仪祷,COMMON,SKILL,SELF,0,保留。消耗10点 hsrmod:充能 ，获得 !M! 点 hsrmod:充能 和1层 力量 。,,,50,,保留。消耗10点 hsrmod:充能 ，获得 !M! 点 hsrmod:充能 和2层 力量 。,,,60,智识,,运转
Qingque1,海底捞月,COMMON,SKILL,SELF,1,此牌的 [E] 消耗至少为1。摸1张牌， !M! %概率回复1点 [E] ， !M! %概率将此牌返还手卡。,,,66,,保留。此牌的 [E] 消耗至少为1。摸1张牌， !M! %概率回复1点 [E] ， !M! %概率将此牌返还手卡。,,,,繁育,,运转
Qingque2,帝垣翔鳞和绝张,COMMON,ATTACK,ALL_ENEMY,4,你每消耗1点 [E] ，此牌便有50%概率减少1点 [E] 消耗。 [E] 消耗为0时 hsrmod:追击 。 NL 对所有敌人造成 !D! 点量子属性伤害（1） !M! 次。,5,,2,,,,,3,欢愉,量子,攻击
Sampo1,反复横跳的爱,COMMON,SKILL,ENEMY,1,执行 !M! 次：对随机敌人造成 !D! 点风属性伤害（1），并施加1层 hsrmod:风化 。,2,,2,,,,,3,虚无,风,攻击
Pela1,领域压制,COMMON,ATTACK,ALL_ENEMY,0,保留。消耗100点 hsrmod:充能 ，对所有敌人造成 !D! 点冰属性伤害（2），并施加 !M! 层 易伤 。,4,,1,,,,,2,,,攻击
Natasha1,新生之礼,COMMON,SKILL,SELF,0,消耗。保留。消耗90点 hsrmod:充能 ，回复 !M! 点生命，摸1张牌。,,,6,,,,,9,丰饶,,防御
Serval1,电光石火间,COMMON,ATTACK,ALL_ENEMY,1,对所有敌人造成 !D! 点雷属性伤害（2），并施加1层 hsrmod:触电 。,2,,,,,7,,,虚无,雷,攻击
Herta1,还是我来吧,COMMON,ATTACK,ALL_ENEMY,1,你的回合内，若有敌人的生命值降至50%以下，则 hsrmod:追击 。 NL 对所有敌人造成 !D! 点冰属性伤害（1）。,8,,,,,12,,,欢愉,冰,攻击
